subject_key,site,method,reference_value,reference_voxels,brain_median,brain_p99,nawm_level,lesion_level,lesion_p10,lesion_over_nawm,threshold,dice,recall,predicted_volume_ratio,mean,sd,p_low,p_high,percentile_range
training_Singapore_Singapore_60,Singapore,wm_referenced,239.6849822998047,135451.0,0.9470538410535526,1.5071271565849111,1.0,1.5300814648846017,1.27541942813198,1.5300814648846017,1.3,0.6477635364896678,0.8694003651172588,1.6843140008425783,,,,,
training_Singapore_Singapore_60,Singapore,z_score,,,0.28965428669647647,2.0236047911907056,0.45357214614515384,2.0946698345570427,1.3062527561897146,4.618162407809536,,,,,204.5697629680006,77.41925872266062,,,
training_Singapore_Singapore_60,Singapore,percentile,,,0.6087217191527718,1.0,0.6457109515899134,1.016036333173665,0.8381244041915025,1.5735157204193475,,,,,,,18.15214195251465,361.23574584960943,"[1, 99]"
training_Singapore_Singapore_61,Singapore,wm_referenced,339.6358337402344,88737.0,0.9752269415546706,1.3590928519756205,1.0,1.3401563833908083,1.2031748320879145,1.3401563833908083,1.3,0.49312602291325697,0.6212371134020619,1.5195876288659793,,,,,
training_Singapore_Singapore_61,Singapore,z_score,,,0.26881720126875963,1.7425784237476276,0.36392742571899134,1.6698763881321659,1.143968530662291,4.588487346984315,,,,,307.4414059203653,88.46386819092933,,,
training_Singapore_Singapore_61,Singapore,percentile,,,0.6882211644855931,1.0,0.7083420324880298,0.9846196550309625,0.8733621888356979,1.390034206458871,,,,,,,43.432847023010254,461.5966339111328,"[1, 99]"
training_Singapore_Singapore_62,Singapore,wm_referenced,282.45343017578125,136637.0,0.9581175231761148,1.6342530496138807,1.0,1.4928975237681994,1.2187486183792138,1.4928975237681994,1.3,0.7465606990146867,0.7857072979847388,1.1048718450401096,,,,,
training_Singapore_Singapore_62,Singapore,z_score,,,0.24239645093337658,2.3023250334565213,0.3699964774708455,1.8716683431902836,1.0364405759799415,5.058611249448354,,,,,248.15090949647268,92.7103979848335,,,
training_Singapore_Singapore_62,Singapore,percentile,,,0.5633293910125463,1.0,0.5903784750282082,0.908707942208008,0.7316535429218748,1.5391955849416599,,,,,,,24.252880687713624,461.6003796386719,"[1, 99]"
training_Singapore_Singapore_64,Singapore,wm_referenced,204.84706115722656,144919.0,0.9694903267870936,1.3697675602801578,1.0,1.3409739113049772,1.2127385788913803,1.3409739113049772,1.3,0.4960934750475118,0.6487481590574374,1.6154270986745214,,,,,
